time_ms,event,duration(ms),copyKind,data_B,streamId
16486,94,0,-1,0,112
16489,60,0,-1,0,111
16490,59,0,-1,0,111
16492,94,0,-1,0,112
16499,107,9,-1,0,98
16504,43,6,-1,0,74
16504,93,28,-1,0,82
16523,14,0,-1,0,98
16514,59,0,-1,0,111
16515,94,0,-1,0,112
16518,60,0,-1,0,111
16519,59,0,-1,0,111
16521,94,0,-1,0,112
16529,92,0,-1,0,90
16535,94,0,-1,0,147
16544,46,6,-1,0,165
16570,51,6,-1,0,82
16540,94,0,-1,0,147
16543,60,0,-1,0,148
16545,59,0,-1,0,148
16535,60,0,-1,0,156
16537,59,0,-1,0,156
16540,94,0,-1,0,157
16546,111,39,-1,0,70
16545,60,0,-1,0,156
16543,46,5,-1,0,90
16573,49,1,-1,0,90
16554,18,0,-1,0,98
16578,103,0,-1,0,74
16568,46,6,-1,0,98
16598,49,1,-1,0,98
16577,94,0,-1,0,120
16578,60,0,-1,0,121
16580,59,0,-1,0,121
16582,94,0,-1,0,120
16583,60,0,-1,0,121
16578,31,3,-1,0,86
16584,59,0,-1,0,165
16586,94,0,-1,0,166
16590,60,0,-1,0,165
16591,94,0,-1,0,166
16595,60,0,-1,0,165
16585,98,0,-1,0,70
16595,111,7,-1,0,90
16601,94,0,-1,0,129
16603,60,0,-1,0,130
16604,59,0,-1,0,130
16606,94,0,-1,0,129
16608,60,0,-1,0,130
16605,60,0,-1,0,120
16606,59,0,-1,0,120
16608,94,0,-1,0,121
16610,60,0,-1,0,120
16612,59,0,-1,0,120
16621,83,5,-1,0,90
16614,92,0,-1,0,78
16618,31,2,-1,0,98
16646,47,2,-1,0,74
16641,105,0,-1,0,82
16630,59,0,-1,0,130
16632,94,0,-1,0,129
16634,60,0,-1,0,130
16635,59,0,-1,0,130
16638,94,0,-1,0,129
16653,90,5,-1,0,98
16650,48,4,-1,0,78
16650,47,1,-1,0,86
16668,15,0,-1,0,94
16658,59,0,-1,0,139
16660,94,0,-1,0,138
16662,60,0,-1,0,139
16664,59,0,-1,0,139
16666,94,0,-1,0,138
16661,99,0,-1,0,86
16674,102,6,-1,0,94
16691,103,0,-1,0,78
16696,45,1,-1,0,165
16688,60,0,-1,0,138
16689,59,0,-1,0,138
16691,94,0,-1,0,139
16693,60,0,-1,0,138
16695,59,0,-1,0,138
16704,83,5,-1,0,74
16705,103,0,-1,0,78
16707,14,0,-1,0,86
16716,114,37,-1,0,98
16720,92,0,-1,0,70
16737,18,0,-1,0,78
16755,14,0,-1,0,82
16748,60,0,-1,0,103
16749,59,0,-1,0,103
16751,116,0,-1,0,102
